Folder,File,ROI,Label
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,ac_density.nii,ac,1
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,acr_L_density.nii,acr_L,2
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,acr_R_density.nii,acr_R,3
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,aic_L_density.nii,aic_L,4
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,aic_R_density.nii,aic_R,5
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,bcc_density.nii,bcc,6
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,cgc_L_density.nii,cgc_L,7
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,cgc_R_density.nii,cgc_R,8
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,cgh_L_density.nii,cgh_L,9
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,cgh_R_density.nii,cgh_R,10
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,cp_L_density.nii,cp_L,11
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,cp_R_density.nii,cp_R,12
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,cst_L_density.nii,cst_L,13
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,cst_R_density.nii,cst_R,14
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,fl_L_density.nii,fl_L,15
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,fl_R_density.nii,fl_R,16
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,fx_L_density.nii,fx_L,17
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,fx_R_density.nii,fx_R,18
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,fxst_L_density.nii,fxst_L,19
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,fxst_R_density.nii,fxst_R,20
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,gcc_density.nii,gcc,21
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,icp_L_density.nii,icp_L,22
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,icp_R_density.nii,icp_R,23
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,ifo_L_density.nii,ifo_L,24
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,ifo_R_density.nii,ifo_R,25
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,ilf_L_density.nii,ilf_L,26
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,ilf_R_density.nii,ilf_R,27
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,m_density.nii,m,28
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,mcp_density.nii,mcp,29
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,ml_L_density.nii,ml_L,30
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,ml_R_density.nii,ml_R,31
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,ol_L_density.nii,ol_L,32
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,ol_R_density.nii,ol_R,33
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,olfr_L_density.nii,olfr_L,34
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,olfr_R_density.nii,olfr_R,35
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,opt_density.nii,opt,36
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,pcr_L_density.nii,pcr_L,37
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,pcr_R_density.nii,pcr_R,38
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,pct_density.nii,pct,39
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,pic_L_density.nii,pic_L,40
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,pic_R_density.nii,pic_R,41
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,pl_L_density.nii,pl_L,42
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,pl_R_density.nii,pl_R,43
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,ptr_L_density.nii,ptr_L,44
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,ptr_R_density.nii,ptr_R,45
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,scc_density.nii,scc,46
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,scp_L_density.nii,scp_L,47
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,scp_R_density.nii,scp_R,48
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,scr_L_density.nii,scr_L,49
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,scr_R_density.nii,scr_R,50
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,sfo_L_density.nii,sfo_L,51
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,sfo_R_density.nii,sfo_R,52
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,slf_L_density.nii,slf_L,53
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,slf_R_density.nii,slf_R,54
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,ss_L_density.nii,ss_L,55
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,ss_R_density.nii,ss_R,56
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,tap_density.nii,tap,57
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,tl_L_density.nii,tl_L,58
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,tl_R_density.nii,tl_R,59
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,unc_L_density.nii,unc_L,60
/home-nfs/masi-shared-home/home/local/VANDERBILT/bayrakrg/Desktop/density,unc_R_density.nii,unc_R,61
